group,TV ABERTA
ext,REDE TV BELEM,https://alanza.iptv2022.com/Rede_TV_belem/tracks-v1a1/mono.m3u8
ext,TV Marajoara,https://video01.kshost.com.br/tv31966/tv31966/chunklist_w1874400382.m3u8
ext,RBA,https://5cf4a2c2512a2.streamlock.net/rbatv/rbatv/playlist.m3u8
ext,Tv Grão Pará Ao Vivo,https://video01.kshost.com.br:4443/moises3834/moises3834/chunklist_w1936544708.m3u8
Tvcultura.br,TV CULTURA,http://www.portalcultura.com.br/playerhtml/funtelpa/tv_funtelpa/playlist.m3u8
ext,AgroBrasil TV,http://45.162.230.234:1935/agrobrasiltv/agrobrasiltv/playlist.m3u8
ext,Canal25Jundiai.br,https://stream01.msolutionbrasil.com.br/hls/canal25/live.m3u8
ext,CBTV NOW,https://oj7lng29dg82-hls-live.5centscdn.com/lives/f7b44cfafd5c52223d5498196c8a2e7b.sdp/index.m3u8
CancaoNova.br,CANÇÃO NOVA,https://5c65286fc6ace.streamlock.net/cancaonova/CancaoNova/master.m3u8
ext,TV Channel Network,https://serv.tvchannel.videovox.pw/serv-tvchannel/serv-tvchannel/chunklist_w1918807699.m3u8
ext,Rede Família,https://alanza.iptv2022.com/Rede_Familia/tracks-v1a1/mono.m3u8
ext,Rede Sul de Televisão,https://alanza.iptv2022.com/Rede_Sul_de_Televisao/tracks-v1a1/mono.m3u8
ext,TV Brusque,https://alanza.iptv2022.com/TV_Brusque/tracks-v1a1/mono.m3u8
ext,REDE FAMILIA,https://alanza.iptv2022.com/Rede_Familia/tracks-v1a1/mono.m3u8
ext,BR Super TV,https://alanza.iptv2022.com/RSCTV_Brasil/tracks-v1a1/mono.m3u8
ext,Central TV,https://alanza.iptv2022.com/Central_TV/tracks-v1a1/mono.m3u8
ext,TV Aracati,https://livefocamundo.com:8081/tvaracati/tracks-v1a1/mono.m3u8
ext,JPL TV,https://streaming.jplproducoes.com.br/JPL1/video.m3u
ext,TV CARAVELAS,https://59f1cbe63db89.streamlock.net:1443/tvcaravelas/_definst_/tvcaravelas/playlist.m3u8
ext,Diário do Sertão Ao Vivo,https://5a2b083e9f360.streamlock.net/pdsertaotv/pdsertaotv.sdp/chunklist_w1077237079.m3u8
ext,Com Brasil Ao Vivo,https://596639ebdd89b.streamlock.net/8032/8032/chunklist_w1884885417.m3u8
ext,TV BRASIL HITS Ao Vivo,https://alanza.iptv2022.com/TV_BRASIL_HITS/tracks-v1a1/mono.m3u8
ext,VV8 TV,https://video01.kshost.com.br:4443/seap8272/seap8272/chunklist_w1424929919.m3u8
Sic.br,SIC,https://d1zx6l1dn8vaj5.cloudfront.net/out/v1/b89cc37caa6d418eb423cf092a2ef970/index_4.m3u8
ext,NDTV SC,https://caikron.com.br:19360/criciuma/criciuma.m3u8
ext,TV TROPICAL,https://59f2354c05961.streamlock.net:1443/portaldatropical/_definst_/portaldatropical/chunklist_w1380631920.m3u8
ext,TV REAL,https://cdn.jmvstream.com/w/LVW-10841/LVW10841_mT77z9o2cP/chunklist.m3u8

group,RELIGIOSOS
Tvnovotempo.br,TV Novo Tempo,https://stream.live.novotempo.com/tv/smil:tvnovotempo.smil/playlist.m3u8
ext,TV Século 21,https://cdn.jmvstream.com/w/LVW-10024/ngrp:LVW10024_H3QLdAY6kx_all/playlist.m3u8
ext,TV AD Belém,https://cdn.jmvstream.com/w/AVJ-9106/playlist/playlist.m3u8
ext,Tv Boas Novas,https://cdn.jmvstream.com/w/LVW-9375/LVW9375_6i0wPBCHYc/playlist.m3u8
ext,Tv IMPD,https://58a4464faef53.streamlock.net/impd/ngrp:impd_all/playlist.m3u8

group,JORNALISMO
Bandeirantes.br,Band,https://5cf4a2c2512a2.streamlock.net/rbatv/rbatv/chunklist_w375796097.m3u8
ext,TV Videos News,https://arkyvbre1g.zoeweb.tv/fiocruz/fiocruz/playlist.m3u8
ext,CANAL SAÚDE,https://59f2354c05961.streamlock.net:1443/tvideonews/_definst_/tvideonews/chunklist.m3u8
CNN.nws,CNN,https://video01.soultv.com.br/cnnbrasil/cnnbrasil/chunklist_w1048115623.m3u8

group,ESPORTES
ext,All Sports,https://5cf4a2c2512a2.streamlock.net/dgrau/dgrau/playlist.m3u8

group,FILMES E SÉRIES
ext,Rede Clone,https://srv5.zcast.com.br/redeclonetv/redeclonetv/chunklist_w1266953032.m3u8
ext,Anime TV,https://stmv1.srvif.com/animetv/animetv/playlist.m3u8
ext,Tv Nova Play Ao Vivo,https://srv4.zcast.com.br/tvnovaplay/tvnovaplay/chunklist_w1874174887.m3u8
ext,Web Tv Cine Ao Vivo,https://srv2.zcast.com.br/elzemar/elzemar/chunklist_w148197557.m3u8
ext,Bons Tempos Ao Vivo,https://tv01.livemustv.com.br/rivaldo6209/rivaldo6209/chunklist_w305418487.m3u8
ext,GOSPEL MOVIE,https://stmv1.srvif.com/gospelf/gospelf/playlist.m3u8
ext,Fandom TV,https://alanza.iptv2022.com/Fandom_TV/tracks-v1a1/mono.m3u8
ext,CLC (Cine Life Classic),https://alanza.iptv2022.com/CLC/tracks-v1a1/mono.m3u8
ext,CANAL 29,https://stmv1.srvif.com/canal29/canal29/chunklist_w960384045.m3u8
TVSeries.pt,TV Séries,https://alanza.iptv2022.com/TV_SERIE/tracks-v1a1/mono.m3u8
ext,Tv Loading,https://stmv.video.expressolider.com.br/loadingtv/loadingtv/playlist.m3u8
ext,Retro Cartoon 2,https://stmv1.srvif.com/retrotv/retrotv/playlist.m3u8
ext,BR Super TV,https://alanza.iptv2022.com/RSCTV_Brasil/tracks-v1a1/mono.m3u8
ext,TV Osório News,https://stmv1.srvif.com/classique/classique/playlist.m3u8
Redebrasil.br,Rede Brasil,https://5cf4a2c2512a2.streamlock.net/rbtv/rbtv/chunklist_w146843650.m3u8
XtremeTV.pl,Xtreme TV,https://alanza.iptv2022.com/Xtreme_TV/tracks-v1a1/mono.m3u8
ext,CINE KURIAKOS,https://w2.manasat.com/kcine/smil:kcine.smil/chunklist_w1539688986_b30048000_sleng.m3u8
ext,TV CHANNEL NETWORK,https://serv.tvchannel.videovox.pw/serv-tvchannel/serv-tvchannel/chunklist_w1154305737.m3u8
Comedycentral.br,Comedy Central,https://cdn2.connectbr.com.br/comedy/index.m3u8
ext,TV CARIOCA.NET,https://stmv2.duvoxtv.com.br/tvcarioca/tvcarioca/chunklist_w338225961.m3u8
Cartoonito.uk,CARTOONITO,https://playout.cdn.cartoonnetwork.com.br/playout_03/playlist-720p.m3u8
ext,CINDIE LITE,https://stream.ads.ottera.tv/playlist.m3u8?network_id=1310

group,MUSICAS
TopTV.svn,TOP TV,https://cast.cdnseguro.com:19360/8092/8092.m3u8
ext,Kpop TV Play Ao Vivo,https://srv1.zcast.com.br/kpoptv/kpoptv/chunklist_w489520488.m3u8
ext,TOP MIX TV Ao Vivo,https://59f1cbe63db89.streamlock.net:1443/topmixtv/_definst_/topmixtv/chunklist_w906310315.m3u8
ext,Kronehit,https://bitcdn-kronehit.bitmovin.com/v2/hls/playlist.m3u8
ext,REDE SULAMÉRICA,https://alanza.iptv2022.com/REDE_SULAMERICA/tracks-v1a1/mono.m3u8
ext,Tv Missão Católica,https://stmv.painelwebtv.com.br/tvweb/tvweb/chunklist_w386607323.m3u8

group,CANAIS PLUTO
ext,Pluto Sucesso,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5f120e94a5714d00074576a1/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Pluto Ficção cientifica,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/5fa15ad6367e170007cdd098/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3450&deviceLon=-48.4219&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Pluto Ação,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5f120f41b7d403000783a6d6/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
